,날짜,종가,전일비,시가,고가,저가,거래량
0,2020.07.31,"58,600",400,"59,500","59,600","58,400","10,043,927"
1,2020.07.30,"59,000",0,"59,700","60,100","59,000","19,285,354"
2,2020.07.29,"59,000",400,"60,300","60,400","58,600","36,476,611"
3,2020.07.28,"58,600","3,000","57,000","58,800","56,400","48,431,566"
4,2020.07.27,"55,600","1,400","54,300","55,700","54,300","21,054,421"
5,2020.07.24,"54,200",100,"54,000","54,400","53,700","10,994,535"
6,2020.07.23,"54,100",600,"54,700","54,700","53,800","16,214,932"
7,2020.07.22,"54,700",600,"55,300","55,500","54,700","12,885,057"
8,2020.07.21,"55,300","1,100","55,200","55,400","54,800","18,297,260"
9,2020.07.20,"54,200",200,"54,800","54,800","54,000","10,507,530"
10,2020.07.17,"54,400",600,"54,200","54,700","54,100","10,096,174"
11,2020.07.16,"53,800",900,"54,800","54,800","53,800","16,779,127"
12,2020.07.15,"54,700",900,"54,400","55,000","54,300","24,051,450"
13,2020.07.14,"53,800",400,"53,700","53,800","53,200","14,269,484"
14,2020.07.13,"53,400",700,"53,300","53,800","53,100","12,240,188"
15,2020.07.10,"52,700",100,"53,100","53,200","52,300","13,714,746"
16,2020.07.09,"52,800",200,"53,200","53,600","52,800","17,054,850"
17,2020.07.08,"53,000",400,"53,600","53,900","52,900","19,664,652"
18,2020.07.07,"53,400","1,600","55,800","55,900","53,400","30,760,032"
19,2020.07.06,"55,000","1,400","54,000","55,000","53,800","19,856,623"
20,2020.07.03,"53,600",700,"53,000","53,600","52,700","11,887,868"
21,2020.07.02,"52,900",300,"52,100","52,900","52,100","14,142,583"
22,2020.07.01,"52,600",200,"53,400","53,600","52,400","16,706,143"
23,2020.06.30,"52,800",400,"53,900","53,900","52,800","21,157,172"
24,2020.06.29,"52,400",900,"52,500","53,200","52,000","17,776,925"
25,2020.06.26,"53,300","1,400","52,800","53,900","52,200","21,575,360"
26,2020.06.25,"51,900","1,000","52,100","53,000","51,900","18,541,624"
27,2020.06.24,"52,900","1,500","51,900","53,900","51,600","24,519,552"
28,2020.06.23,"51,400",600,"52,500","52,800","51,100","18,086,152"
29,2020.06.22,"52,000",900,"52,000","52,600","51,800","13,801,350"
